trigram,frequency,trigrams
"('the', 'hotel', 'is')",49,the hotel is
"('the', 'staff', 'was')",24,the staff was
"('of', 'the', 'hotel')",24,of the hotel
"('the', 'room', 'was')",23,the room was
"('the', 'romeo', 'hotel')",23,the romeo hotel
"('view', 'of', 'the')",22,view of the
"('the', 'hotel', 'was')",22,the hotel was
"('one', 'of', 'the')",21,one of the
"('at', 'the', 'romeo')",18,at the romeo
"('stay', 'here', 'again')",16,stay here again
"('the', 'staff', 'were')",16,the staff were
"('michelin', 'star', 'restaurant')",16,michelin star restaurant
"('the', 'rooms', 'are')",15,the rooms are
"('we', 'had', 'a')",15,we had a
"('of', 'the', 'best')",14,of the best
"('we', 'had', 'to')",13,we had to
"('bay', 'of', 'naples')",13,bay of naples
"('the', 'location', 'is')",13,the location is
"('the', 'spa', 'was')",13,the spa was
"('the', 'front', 'desk')",13,the front desk
"('very', 'friendly', 'and')",13,very friendly and
"('a', 'lot', 'of')",12,a lot of
"('this', 'hotel', 'was')",12,this hotel was
"('close', 'to', 'the')",12,close to the
"('restaurant', 'on', 'the')",11,restaurant on the
"('during', 'our', 'stay')",11,during our stay
"('the', '9th', 'floor')",11,the 9th floor
"('our', 'room', 'was')",11,our room was
"('in', 'the', 'hotel')",11,in the hotel
"('staff', 'was', 'very')",11,staff was very
"('the', 'bay', 'of')",11,the bay of
"('and', 'the', 'staff')",10,and the staff
"('the', 'pool', 'was')",10,the pool was
"('it', 's', 'a')",10,it s a
"('the', 'rooms', 'were')",10,the rooms were
"('to', 'the', 'ferry')",10,to the ferry
"('staff', 'were', 'very')",9,staff were very
"('5', 'star', 'hotel')",9,5 star hotel
"('and', 'it', 'was')",9,and it was
"('some', 'of', 'the')",9,some of the
"('recommend', 'this', 'hotel')",9,recommend this hotel
"('the', 'port', 'and')",9,the port and
"('with', 'a', 'view')",9,with a view
"('of', 'the', 'port')",9,of the port
"('on', 'the', 'top')",9,on the top
"('we', 'didn', 't')",9,we didn t
"('the', 'rooftop', 'pool')",9,the rooftop pool
"('the', 'amalfi', 'coast')",9,the amalfi coast
"('a', '5', 'star')",9,a 5 star
"('friendly', 'and', 'helpful')",9,friendly and helpful
"('at', 'the', 'hotel')",8,at the hotel
"('hotel', 'in', 'naples')",8,hotel in naples
"('to', 'the', 'port')",8,to the port
"('it', 'was', 'a')",8,it was a
