trigram,frequency,trigrams
"('michelin', 'star', 'restaurant')",16,michelin star restaurant
"('front', 'desk', 'staff')",7,front desk staff
"('staff', 'friendly', 'helpful')",6,staff friendly helpful
"('9th', 'floor', 'restaurant')",6,9th floor restaurant
"('stay', 'romeo', 'hotel')",5,stay romeo hotel
"('restaurant', 'top', 'floor')",4,restaurant top floor
"('staff', 'helpful', 'friendly')",4,staff helpful friendly
"('within', 'walking', 'distance')",4,within walking distance
"('stayed', 'two', 'nights')",4,stayed two nights
"('five', 'star', 'hotel')",4,five star hotel
"('would', 'definitely', 'stay')",4,would definitely stay
"('king', 'size', 'bed')",3,king size bed
"('would', 'recommend', 'hotel')",3,would recommend hotel
"('view', 'bay', 'naples')",3,view bay naples
"('view', 'mount', 'vesuvius')",3,view mount vesuvius
"('hotel', 'good', 'location')",3,hotel good location
"('comandante', 'michelin', 'star')",3,comandante michelin star
"('highly', 'recommend', 'hotel')",3,highly recommend hotel
"('stayed', 'romeo', 'hotel')",3,stayed romeo hotel
"('nights', 'romeo', 'hotel')",3,nights romeo hotel
"('one', 'best', 'hotels')",3,one best hotels
"('restaurant', '10th', 'floor')",3,restaurant 10th floor
"('would', 'want', 'visit')",3,would want visit
"('friendly', 'helpful', 'staff')",3,friendly helpful staff
"('romeo', 'hotel', 'naples')",3,romeo hotel naples
"('nothing', 'much', 'trouble')",3,nothing much trouble
"('breakfast', 'buffet', 'nice')",3,breakfast buffet nice
"('staff', 'front', 'desk')",3,staff front desk
"('hotel', 'last', 'night')",3,hotel last night
"('beautiful', 'entrance', 'lobby')",2,beautiful entrance lobby
"('pool', 'hot', 'tub')",2,pool hot tub
"('right', 'across', 'street')",2,right across street
"('hotel', 'naples', 'staff')",2,hotel naples staff
"('romeo', 'hotel', 'last')",2,romeo hotel last
"('michelin', 'starred', 'restaurant')",2,michelin starred restaurant
"('naples', 'staff', 'friendly')",2,naples staff friendly
"('rooftop', 'bar', 'pool')",2,rooftop bar pool
"('rooms', 'nice', 'luxurious')",2,rooms nice luxurious
"('pool', 'modern', 'relaxing')",2,pool modern relaxing
"('hotel', 'great', 'location')",2,hotel great location
"('sauna', 'steam', 'room')",2,sauna steam room
"('hotel', 'beautiful', 'extremely')",2,hotel beautiful extremely
"('comfortable', 'welcoming', 'hotel')",2,comfortable welcoming hotel
"('alessandro', 'luka', 'mario')",2,alessandro luka mario
"('luka', 'mario', 'danilo')",2,luka mario danilo
"('stay', 'hotel', 'close')",2,stay hotel close
"('perfect', 'place', 'stay')",2,perfect place stay
"('mario', 'danilo', 'daniella')",2,mario danilo daniella
"('danilo', 'daniella', 'chiara')",2,danilo daniella chiara
"('really', 'felt', 'like')",2,really felt like
